Materials Id,Formula,Spacegroup,Formation Energy (eV),E Above Hull (eV),Band Gap (eV),Volume,Nsites,Density (gm/cc)
mp-1207078,CaNiH3,Pm3m,-563,0,0,44.275,5,3.818
mp-20947,CaRuO3,Pnma,-2.227,0,0,235.307,20,5.339
mp-1078802,LaVGe3,P63/mmc,-572,0,0,196.387,10,6.896
mp-1068661,ZrBRh3,Pm3m,-738,0,0,71.515,5,9.537
mp-656144,BaEuFe2O5,P4/mmm,-2.37,0,0,122.977,9,6.495
mp-1208643,SrHfS3,Pnma,-2.113,0,2.046,471.9,20,5.1
mp-1078725,Ba2UZnO6,Fm3m,-3.177,0,1.809,153.534,10,7.291
mp-1207582,YbCrO3,Pnma,-2.817,0,0,213.367,20,8.5
mp-19339,LaNiO3,R3c,-2.472,0,0,117.617,10,6.935
mp-672373,La3Co4Sn13,Pm3n,-0.4,0,0,912.366,40,7.992
mp-1105454,Sr2GdMoO6,P21/c,-3.056,0,1.350,294.205,20,5.92
mp-1194135,Cs3Er2I9,P63/mmc,-1.741,0,2.890,1.427.371,28,4.363
mp-1095170,Sr2FeOsO6,Fm3m,-2.333,0,0,252.316,20,6.809
mp-1079871,Cs2KSmCl6,Fm3m,-2.506,0,5.178,377.012,10,2.942
mp-20090,PrCoO3,Pnma,-2.505,0,1.134,233.894,20,7.038
mp-1193179,Cs3Cr2Cl9,P63/mmc,-1.958,0,0,886.517,28,3.079
mp-556365,KCrF3,C2/m,-2.934,0,1.496,155.674,10,3.159
mp-18965,BaCoO3,P63/mmc,-2.053,0,0,273.071,20,5.941
mp-1084823,Sr2CrSbO6,C2/m,-2.674,0,1.858,127.787,10,5.783
mp-1105546,LaFe4(CuO4)3,Im3,-1.681,0,0,211.681,20,5.844
mp-1079630,Ba2TaInO6,Fm3m,-3.077,0,4.052,148.172,10,7.468
mp-510575,GdMnO3,Pnma,-2.982,0,404,237.726,20,7.27
mp-23329,Bi2WO6,Aea2,-1.957,0,1.954,261.062,18,8.877
mp-22942,BaBiO3,C2/m,-2.233,0,0,172.722,10,7.582
mp-550081,Ba2LaIrO6,R3,-2.712,0,0,161.376,10,7.221
mp-23091,Ba2BiSbO6,R3,-2.453,0,1.984,162.475,10,7.168
mp-6635,Ba2CaReO6,Fm3m,-2.916,0,0,152.077,10,6.518
mp-1078250,Cs2AgBiBr6,Fm3m,-1.46,1,1.621,379.059,10,4.653
mp-19078,Ba2SrWO6,R3,-2.967,1,3.397,166.341,10,6.41
mp-18857,Sr2FeMoO6,I4/m,-2.532,1,1.326,128.113,10,5.483
mp-561170,Ba3ZrRu2O9,P63/mmc,-2.679,1,0,433.797,30,6.502
mp-558194,NaLaMgWO6,C2/m,-2.896,1,3.497,250.006,20,6.191
mp-23482,BaBiO3,R3,-2.232,1,79,172.409,10,7.595
mp-6613,Ba2YTaO6,Fm3m,-3.571,2,3.362,155.961,10,6.82
mp-984788,Ba4Er(RuO4)3,R3m,-2.529,2,0,298.109,20,6.75
mp-1080123,Ba2LaIrO6,Fm3m,-2.709,2,0,162.062,10,7.191
mp-1180782,KCrF3,Ibam,-2.931,3,166,154.485,10,3.184
mp-19182,Ba2CaWO6,I4/m,-3.03,3,3.204,154.903,10,6.374
mp-18977,Ba2CaWO6,Fm3m,-3.03,3,3.200,154.818,10,6.377
mp-5986,BaTiO3,P4mm,-3.489,3,1.830,67.36,5,5.749
mp-1194190,Ba3BiIr2O9,C2/c,-2.103,4,0,467.948,30,8.157
mp-1188372,UVSe3,Pnma,-1.252,5,0,443.966,20,7.867
mp-1105304,Ca2FeOsO6,P21/c,-2.33,6,0,236.302,20,5.934
mp-1185383,Eu5Nb4O15,P3m1,-3.249,6,0,329.258,24,6.917
mp-19012,CaMoO3,Pnma,-2.613,6,1.132,251.704,20,4.856
mp-1068377,CsEuCl3,Pm3m,-2.597,7,736,183.526,5,3.54
mp-1105266,Sr2YbTaO6,P21/c,-3.299,7,0,290.017,20,7.16
mp-5304,LaAlO3,Pm3m,-3.715,7,3.576,55.361,5,6.415
mp-22428,SrCeO3,Pnma,-3.615,9,2.306,325.374,20,5.629
mp-545603,Ba2BiSbO6,Fm3m,-2.444,9,1.888,163.082,10,7.142
mp-554500,Bi2WO6,C2/m,-1.948,9,2.439,259.524,18,8.93
mp-1078716,SrMoO3,Imma,-2.588,9,0,134.839,10,5.703
mp-22137,DyCoO3,Pnma,-2.616,9,1.183,219.436,20,8.155
mp-12525,Sr2LiReO6,Fm3m,-2.74,11,1.706,125.892,10,6.125
mp-556003,CaTiO3,Imma,-3.545,11,2.160,115.026,10,3.925
mp-1078727,Ba2BiIrO6,P1,-2.127,11,0,158.59,10,8.082
mp-1205364,CaTiO3,Cmcm,-3.543,13,2.140,229.696,20,3.931
mp-1181917,CaRhO3,Pnma,-2.079,14,0,236.188,20,5.371
