mp-1210746	MnCo3C	Pm3m	0.055	0.079	0.000	52.918	5	7.649	
mp-18747	SrMoO3	Pm3m	-2.588	0.084	0.000	67.946	5	5.659	
mp-1207172	SrPuO3	Pm3m	-3.339	0.091	0.000	83.058	5	7.59	
mp-1207183	Mn3AuN	Pm3m	-0.187	0.094	0.000	55.874	5	11.168	
mp-1206402	Mn3HgN	Pm3m	-0.141	0.108	0.000	66.166	5	9.522	
mp-1206517	Cu3PdN	Pm3m	0.028	0.111	0.255	58.354	5	8.852	
mp-5660		BaIrO3	Pm3m	-1.889	0.143	0.000	67.782	5	9.249	
mp-1206991	GaNi3C	Pm3m	-0.075	0.157	0.000	53.821	5	7.954	
mp-1207084	AlNi3C	Pm3m	-0.182	0.166	0.000	53.206	5	6.712	
mp-1206715	AlFe3B	Pm3m	-0.147	0.169	0.000	55.845	5	6.105	
mp-1025334	Cs2TmH4	I4/mmm	-0.281	0.187	0.000	156.733	7	4.649	
mp-1017626	LiCaF3	Pm3m	-3.631	0.187	6.526	53.21	5	3.246	
mp-1207055	Mn3AlN	Pm3m	-0.449	0.189	0.000	53.567	5	6.38	
mp-1069346	PrVO3	Pm3m	-2.999	0.212	0.000	60.972	5	6.532	
mp-1206988	NbBRh3	Pm3m	-0.27	0.231	0.000	69.557	5	9.846	
mp-1207194	Cu3RhN	Pm3m	0.249	0.249	0.000	57.012	5	8.958	
mp-1206138	Yb3PbC	Pm3m	-0.109	0.261	0.000	125.414	5	9.776	
mp-1206910	CoAgF3	Pm3m	-1.701	0.268	0.000	66.183	5	5.615	
mp-998159	TlFeF3	Pm3m	-2.183	0.271	0.000	77.006	5	6.841	
mp-1017446	HfCdO3	Pm3m	-2.687	0.28	0.000	68.826	5	8.177	
mp-1207081	CsTmH3	Pm3m	-0.254	0.318	0.000	88.228	5	5.738	
mp-1206360	Yb3AlC	Pm3m	0.182	0.326	0.000	127.61	5	7.262	
mp-1206999	SmGePd3	Pm3m	-0.467	0.34	0.000	104.785	5	8.593	
mp-1206130	CrFe3N	Pm3m	0.105	0.386	0.000	55.276	5	7.016	
mp-1206985	TiFe3N	Pm3m	-0.345	0.419	0.000	52.231	5	7.293	
mp-1086672	MnO3	Imma	-0.866	0.499	0.000	93.066	8	3.673	
mp-1207091	Cu3RuN	Pm3m	0.507	0.507	0.000	58.004	5	8.752	
mp-1017555	CsBeF3	Pm3m	-2.763	0.663	5.385	65.711	5	5.027	
mp-1206341	NdSbO3	Pm3m	-2.085	0.769	0.000	78.489	5	6.643	
mp-1207083	FeSnO3	Pm3m	-1.186	0.777	0.000	65.245	5	5.664	
mp-1207179	SmSbO3	Pm3m	-2.026	0.86	0.000	77.801	5	6.832	
mp-1080799	CuNF3	Pm3m	-0.342	0.902	0.000	58.762	5	3.802	
mp-1206344	MnAgF3	Pm3m	-1.363	0.931	0.000	85.761	5	4.256	
mp-1209766	NiAgF3	Pm3m	-0.842	0.985	0.000	82.154	5	4.519	
mvc-11152	YSbO3	Pm3m	-1.928	0.996	0.000	76.787	5	5.594	
mp-1207184	DySbO3	Pm3m	-1.905	1.039	0.000	76.659	5	7.197	
mp-1207389	ZnNF3	Pm3m	-0.665	1.053	0.000	63.815	5	3.55	
mp-1206915	CoAgF3	Pm3m	-0.913	1.056	0.000	84.241	5	4.411	
mp-1207180	HoSbO3	Pm3m	-1.876	1.077	0.000	76.565	5	7.259	
mp-1210575	MgAgF3	Pm3m	-1.613	1.196	0.000	85.153	5	3.689	
mp-1213745	CoNF3	Pm3m	-0.534	1.258	0.000	53.491	5	4.034	
mp-1068795	NiNF3	Pm3m	-0.112	1.395	0.000	60.645	5	3.551	
mp-1069166	MnNF3	Pm3m	-0.812	1.421	0.000	63.191	5	3.309	
mp-1206753	AlFe3O	Pm3m	0.253	1.452	0.000	69.611	5	5.022	
mp-1069129	MnNCl3	Pm3m	0.733	1.637	0.000	91.386	5	3.185	
mp-1207063	ZrBRh3	Pm3m	1.827	2.565	0.000	107.743	5	6.33	

